age,applying position,experience,leadership experience,english proficiency,salary expectation,gender,category
29,Associate Engineer,2-5 years,1-2 years experience,Fluent,170000,Male,mid level
44,Tech Lead,10+ years,5 years+ experience,Fluent,640000,Male,high level
20,Intern,No experience,no experience,Beginner,50000,Male,low level
26,Junior Developer,1-2 years,2-5 years experience,Fluent,80000,Male,low-mid level
34,Tech Lead,5-10 years,5 years+ experience,Fluent,280000,Male,mid-high level
30,Software Engineer,1-2 years,1-2 years experience,Fluent,160000,Female,mid level
32,Tech Lead,10+ years,5 years+ experience,Fluent,960000,Male,high level
18,Intern,Below 1 year,no experience,Fluent,30000,Male,low level
22,Junior Developer,1-2 years,2-5 years experience,Fluent,80000,Female,low-mid level
45,Senior Engineer,5-10 years,5 years+ experience,Fluent,300000,Male,mid-high level
30,Software Engineer,1-2 years,2-5 years experience,Fluent,200000,Female,mid level
30,Architect,10+ years,5 years+ experience,Fluent,630000,Male,high level
20,Trainee,No experience,no experience,Fluent,40000,Male,low level
24,Junior Engineer,1-2 years,1-2 years experience,Beginner,60000,Male,low-mid level
54,Software Engineer,5-10 years,5 years+ experience,Fluent,390000,Male,mid-high level
29,Associate Engineer,1-2 years,1-2 years experience,Fluent,120000,Female,mid level
20,Intern,Below 1 year,no experience,Beginner,50000,Male,low level
22,Intern,Below 1 year,no experience,Beginner,30000,Male,low level
20,Junior Engineer,1-2 years,1-2 years experience,Beginner,80000,Male,low-mid level
35,Software Engineer,5-10 years,5 years+ experience,Fluent,420000,Male,mid-high level
28,Associate Engineer,2-5 years,1-2 years experience,Fluent,180000,Male,mid level
22,Junior Developer,Below 1 year,no experience,Intermediate,30000,Female,low level
23,Intern,Below 1 year,no experience,Fluent,30000,Female,low level
21,Associate Engineer,1-2 years,2-5 years experience,Fluent,60000,Female,low-mid level
55,Software Engineer,5-10 years,5 years+ experience,Fluent,280000,Male,mid-high level
28,Software Engineer,2-5 years,2-5 years experience,Fluent,130000,Male,mid level
18,Trainee,No experience,no experience,Beginner,50000,Male,low level
22,Junior Developer,Below 1 year,no experience,Intermediate,40000,Female,low level
22,Junior Developer,1-2 years,1-2 years experience,Fluent,80000,Female,low-mid level
54,Tech Lead,5-10 years,5 years+ experience,Fluent,310000,Male,mid-high level
34,Associate Engineer,2-5 years,1-2 years experience,Fluent,190000,Male,mid level
21,Intern,No experience,no experience,Fluent,50000,Female,low level
23,Junior Developer,No experience,no experience,Intermediate,40000,Male,low level
24,Associate Engineer,1-2 years,2-5 years experience,Fluent,70000,Female,low-mid level
51,Software Engineer,5-10 years,5 years+ experience,Fluent,320000,Male,mid-high level
29,Software Engineer,1-2 years,2-5 years experience,Fluent,150000,Female,mid level
22,Trainee,Below 1 year,no experience,Fluent,30000,Male,low level
21,Intern,No experience,no experience,Beginner,30000,Male,low level
22,Associate Engineer,1-2 years,1-2 years experience,Fluent,70000,Female,low-mid level
33,Senior Engineer,5-10 years,5 years+ experience,Fluent,380000,Male,mid-high level
28,Software Engineer,1-2 years,2-5 years experience,Fluent,170000,Female,mid level
22,Intern,Below 1 year,no experience,Beginner,40000,Male,low level
18,Trainee,Below 1 year,no experience,Beginner,30000,Male,low level
27,Junior Developer,1-2 years,2-5 years experience,Beginner,80000,Male,low-mid level
44,Senior Engineer,5-10 years,5 years+ experience,Fluent,210000,Male,mid-high level
28,Software Engineer,1-2 years,2-5 years experience,Fluent,120000,Male,mid level
22,Intern,Below 1 year,no experience,Fluent,30000,Male,low level
18,Intern,Below 1 year,no experience,Fluent,50000,Male,low level
22,Junior Engineer,1-2 years,1-2 years experience,Beginner,70000,Female,low-mid level
35,Senior Engineer,5-10 years,5 years+ experience,Fluent,460000,Male,mid-high level
29,Software Engineer,2-5 years,2-5 years experience,Fluent,150000,Male,mid level
19,Junior Developer,No experience,no experience,Intermediate,30000,Female,low level
22,Intern,No experience,no experience,Intermediate,40000,Male,low level
24,Junior Engineer,1-2 years,2-5 years experience,Beginner,50000,Male,low-mid level
36,Senior Engineer,5-10 years,5 years+ experience,Fluent,480000,Male,mid-high level
31,Software Engineer,1-2 years,2-5 years experience,Fluent,200000,Male,mid level
20,Intern,Below 1 year,no experience,Fluent,40000,Male,low level
18,Trainee,Below 1 year,no experience,Intermediate,40000,Male,low level
28,Junior Engineer,1-2 years,1-2 years experience,Intermediate,50000,Female,low-mid level
34,Senior Engineer,5-10 years,5 years+ experience,Fluent,370000,Male,mid-high level
31,Software Engineer,1-2 years,1-2 years experience,Fluent,150000,Male,mid level
21,Intern,Below 1 year,no experience,Intermediate,30000,Female,low level
19,Intern,Below 1 year,no experience,Intermediate,30000,Male,low level
27,Associate Engineer,1-2 years,1-2 years experience,Beginner,60000,Male,low-mid level
42,Software Engineer,5-10 years,5 years+ experience,Fluent,370000,Male,mid-high level
28,Software Engineer,1-2 years,2-5 years experience,Fluent,180000,Male,mid level
23,Intern,Below 1 year,no experience,Intermediate,40000,Male,low level
22,Trainee,Below 1 year,no experience,Fluent,40000,Male,low level
25,Junior Developer,1-2 years,2-5 years experience,Fluent,70000,Male,low-mid level
42,Tech Lead,5-10 years,5 years+ experience,Fluent,430000,Male,mid-high level
31,Software Engineer,2-5 years,2-5 years experience,Fluent,120000,Male,mid level
20,Intern,Below 1 year,no experience,Fluent,40000,Female,low level
23,Intern,No experience,no experience,Intermediate,50000,Female,low level
20,Junior Developer,1-2 years,1-2 years experience,Intermediate,50000,Male,low-mid level
45,Senior Engineer,5-10 years,5 years+ experience,Fluent,420000,Male,mid-high level
35,Associate Engineer,2-5 years,1-2 years experience,Fluent,150000,Male,mid level
18,Junior Developer,Below 1 year,no experience,Fluent,30000,Male,low level
21,Intern,No experience,no experience,Beginner,50000,Female,low level
28,Junior Engineer,1-2 years,2-5 years experience,Fluent,60000,Female,low-mid level
35,Software Engineer,5-10 years,5 years+ experience,Fluent,340000,Male,mid-high level
29,Associate Engineer,1-2 years,2-5 years experience,Fluent,140000,Male,mid level
21,Trainee,No experience,no experience,Fluent,30000,Male,low level
22,Trainee,No experience,no experience,Beginner,30000,Male,low level
28,Junior Engineer,1-2 years,1-2 years experience,Fluent,70000,Female,low-mid level
41,Software Engineer,5-10 years,5 years+ experience,Fluent,430000,Male,mid-high level
31,Software Engineer,2-5 years,1-2 years experience,Fluent,190000,Female,mid level
18,Intern,Below 1 year,no experience,Fluent,40000,Female,low level
21,Intern,No experience,no experience,Beginner,50000,Female,low level
23,Associate Engineer,1-2 years,2-5 years experience,Intermediate,80000,Male,low-mid level
32,Tech Lead,5-10 years,5 years+ experience,Fluent,430000,Male,mid-high level
32,Software Engineer,2-5 years,2-5 years experience,Fluent,150000,Female,mid level
48,Senior Engineer,10+ years,5 years+ experience,Fluent,970000,Male,high level
22,Intern,Below 1 year,no experience,Beginner,40000,Male,low level
23,Junior Engineer,1-2 years,1-2 years experience,Beginner,50000,Male,low-mid level
41,Software Engineer,5-10 years,5 years+ experience,Fluent,250000,Male,mid-high level
32,Associate Engineer,2-5 years,2-5 years experience,Fluent,160000,Male,mid level
38,Architect,10+ years,5 years+ experience,Fluent,690000,Male,high level
19,Trainee,Below 1 year,no experience,Beginner,50000,Male,low level
21,Associate Engineer,1-2 years,2-5 years experience,Beginner,70000,Female,low-mid level
43,Tech Lead,5-10 years,5 years+ experience,Fluent,280000,Male,mid-high level
30,Software Engineer,1-2 years,2-5 years experience,Fluent,160000,Male,mid level
40,Principal Engineer,10+ years,5 years+ experience,Fluent,700000,Male,high level
19,Trainee,No experience,no experience,Beginner,50000,Male,low level
23,Associate Engineer,1-2 years,1-2 years experience,Intermediate,80000,Female,low-mid level
47,Tech Lead,5-10 years,5 years+ experience,Fluent,480000,Male,mid-high level
31,Associate Engineer,1-2 years,2-5 years experience,Fluent,150000,Male,mid level
54,Tech Lead,10+ years,5 years+ experience,Fluent,900000,Male,high level
22,Intern,No experience,no experience,Beginner,30000,Female,low level
28,Junior Developer,1-2 years,1-2 years experience,Fluent,60000,Female,low-mid level
43,Senior Engineer,5-10 years,5 years+ experience,Fluent,310000,Male,mid-high level
28,Associate Engineer,2-5 years,1-2 years experience,Fluent,150000,Male,mid level
45,Tech Lead,5-10 years,5 years+ experience,Fluent,830000,Male,high level
18,Trainee,No experience,no experience,Fluent,40000,Male,low level
22,Junior Developer,1-2 years,2-5 years experience,Fluent,60000,Female,low-mid level
46,Software Engineer,5-10 years,5 years+ experience,Fluent,400000,Male,mid-high level
31,Associate Engineer,2-5 years,1-2 years experience,Fluent,130000,Male,mid level
34,Senior Engineer,5-10 years,5 years+ experience,Fluent,650000,Male,high level
23,Intern,Below 1 year,no experience,Intermediate,30000,Male,low level
22,Associate Engineer,1-2 years,2-5 years experience,Intermediate,70000,Male,low-mid level
38,Senior Engineer,5-10 years,5 years+ experience,Fluent,410000,Male,mid-high level
29,Associate Engineer,1-2 years,1-2 years experience,Fluent,180000,Male,mid level
51,Principal Engineer,5-10 years,5 years+ experience,Fluent,920000,Male,high level
22,Intern,No experience,no experience,Intermediate,30000,Male,low level
28,Junior Engineer,1-2 years,2-5 years experience,Intermediate,70000,Male,low-mid level
41,Software Engineer,5-10 years,5 years+ experience,Fluent,220000,Male,mid-high level
30,Software Engineer,2-5 years,1-2 years experience,Fluent,180000,Male,mid level
48,Tech Lead,5-10 years,5 years+ experience,Fluent,810000,Male,high level
23,Junior Developer,No experience,no experience,Beginner,40000,Male,low level
22,Junior Developer,1-2 years,2-5 years experience,Intermediate,60000,Male,low-mid level
46,Tech Lead,5-10 years,5 years+ experience,Fluent,400000,Male,mid-high level
31,Associate Engineer,1-2 years,1-2 years experience,Fluent,170000,Male,mid level
30,Principal Engineer,5-10 years,5 years+ experience,Fluent,980000,Male,high level
21,Trainee,No experience,no experience,Beginner,30000,Male,low level
20,Associate Engineer,1-2 years,1-2 years experience,Fluent,70000,Male,low-mid level
35,Tech Lead,5-10 years,5 years+ experience,Fluent,410000,Male,mid-high level
28,Associate Engineer,2-5 years,1-2 years experience,Fluent,200000,Male,mid level
38,Architect,10+ years,5 years+ experience,Fluent,980000,Male,high level
21,Intern,Below 1 year,no experience,Beginner,30000,Male,low level
25,Associate Engineer,1-2 years,2-5 years experience,Fluent,50000,Female,low-mid level
34,Senior Engineer,5-10 years,5 years+ experience,Fluent,350000,Male,mid-high level
29,Software Engineer,1-2 years,1-2 years experience,Fluent,180000,Male,mid level
53,Senior Engineer,10+ years,5 years+ experience,Fluent,860000,Male,high level
18,Junior Developer,No experience,no experience,Beginner,40000,Female,low level
22,Junior Developer,1-2 years,1-2 years experience,Beginner,50000,Male,low-mid level
33,Tech Lead,5-10 years,5 years+ experience,Fluent,270000,Male,mid-high level
32,Software Engineer,2-5 years,2-5 years experience,Fluent,130000,Female,mid level
45,Tech Lead,5-10 years,5 years+ experience,Fluent,560000,Male,high level
22,Intern,No experience,no experience,Fluent,40000,Female,low level
25,Junior Developer,1-2 years,2-5 years experience,Fluent,80000,Female,low-mid level
33,Tech Lead,5-10 years,5 years+ experience,Fluent,500000,Male,mid-high level
28,Associate Engineer,1-2 years,1-2 years experience,Fluent,120000,Female,mid level
49,Architect,5-10 years,5 years+ experience,Fluent,680000,Male,high level
20,Trainee,No experience,no experience,Intermediate,50000,Male,low level
23,Associate Engineer,1-2 years,2-5 years experience,Fluent,70000,Male,low-mid level
43,Software Engineer,5-10 years,5 years+ experience,Fluent,330000,Female,mid-high level
29,Associate Engineer,1-2 years,1-2 years experience,Fluent,170000,Male,mid level
42,Senior Engineer,5-10 years,5 years+ experience,Fluent,740000,Male,high level
23,Junior Developer,No experience,no experience,Intermediate,50000,Female,low level
24,Junior Engineer,1-2 years,1-2 years experience,Beginner,60000,Male,low-mid level
37,Senior Engineer,5-10 years,5 years+ experience,Fluent,450000,Male,mid-high level
30,Software Engineer,1-2 years,1-2 years experience,Fluent,130000,Male,mid level
55,Senior Engineer,10+ years,5 years+ experience,Fluent,720000,Male,high level
22,Trainee,Below 1 year,no experience,Intermediate,40000,Male,low level
21,Junior Engineer,1-2 years,1-2 years experience,Beginner,80000,Male,low-mid level
42,Software Engineer,5-10 years,5 years+ experience,Fluent,330000,Male,mid-high level
28,Associate Engineer,1-2 years,1-2 years experience,Fluent,160000,Female,mid level
49,Principal Engineer,5-10 years,5 years+ experience,Fluent,920000,Male,high level
18,Intern,Below 1 year,no experience,Intermediate,50000,Male,low level
23,Junior Engineer,1-2 years,2-5 years experience,Beginner,50000,Male,low-mid level
43,Tech Lead,5-10 years,5 years+ experience,Fluent,370000,Male,mid-high level
32,Software Engineer,2-5 years,1-2 years experience,Fluent,180000,Male,mid level
48,Senior Engineer,10+ years,5 years+ experience,Fluent,500000,Male,high level
19,Intern,Below 1 year,no experience,Fluent,30000,Female,low level
24,Junior Developer,1-2 years,1-2 years experience,Fluent,80000,Male,low-mid level
43,Tech Lead,5-10 years,5 years+ experience,Fluent,380000,Male,mid-high level
29,Associate Engineer,2-5 years,2-5 years experience,Fluent,120000,Male,mid level
44,Tech Lead,10+ years,5 years+ experience,Fluent,620000,Male,high level
22,Intern,No experience,no experience,Fluent,50000,Male,low level
27,Associate Engineer,1-2 years,2-5 years experience,Fluent,70000,Male,low-mid level
42,Senior Engineer,5-10 years,5 years+ experience,Fluent,230000,Male,mid-high level
29,Software Engineer,1-2 years,2-5 years experience,Fluent,190000,Male,mid level
37,Tech Lead,5-10 years,5 years+ experience,Fluent,830000,Male,high level
18,Trainee,Below 1 year,no experience,Beginner,30000,Female,low level
27,Associate Engineer,1-2 years,2-5 years experience,Fluent,80000,Female,low-mid level
43,Software Engineer,5-10 years,5 years+ experience,Fluent,400000,Male,mid-high level
30,Software Engineer,2-5 years,1-2 years experience,Fluent,170000,Male,mid level
39,Tech Lead,10+ years,5 years+ experience,Fluent,980000,Male,high level
23,Trainee,No experience,no experience,Fluent,30000,Female,low level
25,Junior Developer,1-2 years,2-5 years experience,Beginner,80000,Female,low-mid level
32,Senior Engineer,5-10 years,5 years+ experience,Fluent,280000,Male,mid-high level
30,Software Engineer,2-5 years,1-2 years experience,Fluent,150000,Male,mid level
52,Senior Engineer,5-10 years,5 years+ experience,Fluent,590000,Male,high level
20,Intern,No experience,no experience,Fluent,40000,Male,low level
27,Junior Developer,1-2 years,2-5 years experience,Beginner,50000,Male,low-mid level
38,Senior Engineer,5-10 years,5 years+ experience,Fluent,440000,Male,mid-high level
30,Associate Engineer,2-5 years,2-5 years experience,Fluent,200000,Female,mid level
47,Principal Engineer,10+ years,5 years+ experience,Fluent,810000,Male,high level
18,Intern,No experience,no experience,Beginner,30000,Male,low level
22,Associate Engineer,1-2 years,2-5 years experience,Beginner,80000,Female,low-mid level
42,Software Engineer,5-10 years,5 years+ experience,Fluent,250000,Male,mid-high level
29,Associate Engineer,2-5 years,2-5 years experience,Fluent,200000,Male,mid level
52,Tech Lead,10+ years,5 years+ experience,Fluent,850000,Male,high level
18,Intern,No experience,no experience,Beginner,40000,Male,low level
21,Associate Engineer,1-2 years,1-2 years experience,Intermediate,60000,Male,low-mid level
45,Tech Lead,5-10 years,5 years+ experience,Fluent,260000,Male,mid-high level
32,Software Engineer,1-2 years,1-2 years experience,Fluent,180000,Male,mid level
55,Senior Engineer,5-10 years,5 years+ experience,Fluent,740000,Male,high level
18,Intern,Below 1 year,no experience,Fluent,40000,Male,low level
22,Junior Developer,1-2 years,1-2 years experience,Intermediate,70000,Female,low-mid level
36,Software Engineer,5-10 years,5 years+ experience,Fluent,490000,Female,mid-high level
30,Software Engineer,1-2 years,1-2 years experience,Fluent,120000,Female,mid level
37,Tech Lead,5-10 years,5 years+ experience,Fluent,1000000,Male,high level
23,Intern,Below 1 year,no experience,Intermediate,30000,Male,low level
23,Associate Engineer,1-2 years,2-5 years experience,Intermediate,80000,Male,low-mid level
38,Tech Lead,5-10 years,5 years+ experience,Fluent,350000,Male,mid-high level
29,Software Engineer,2-5 years,2-5 years experience,Fluent,140000,Male,mid level
47,Tech Lead,10+ years,5 years+ experience,Fluent,810000,Male,high level
21,Intern,No experience,no experience,Intermediate,30000,Male,low level
21,Junior Developer,1-2 years,1-2 years experience,Intermediate,70000,Male,low-mid level
54,Senior Engineer,5-10 years,5 years+ experience,Fluent,350000,Male,mid-high level
28,Associate Engineer,1-2 years,1-2 years experience,Fluent,180000,Male,mid level
47,Senior Engineer,5-10 years,5 years+ experience,Fluent,570000,Male,high level
18,Intern,No experience,no experience,Intermediate,40000,Male,low level
20,Junior Engineer,1-2 years,2-5 years experience,Beginner,70000,Male,low-mid level
35,Tech Lead,5-10 years,5 years+ experience,Fluent,300000,Female,mid-high level
31,Software Engineer,1-2 years,1-2 years experience,Fluent,150000,Male,mid level
47,Principal Engineer,10+ years,5 years+ experience,Fluent,880000,Female,high level
22,Trainee,No experience,no experience,Intermediate,30000,Male,low level
21,Junior Engineer,1-2 years,2-5 years experience,Beginner,80000,Male,low-mid level
54,Tech Lead,5-10 years,5 years+ experience,Fluent,490000,Male,mid-high level
31,Software Engineer,2-5 years,2-5 years experience,Fluent,140000,Female,mid level
30,Architect,10+ years,5 years+ experience,Fluent,750000,Male,high level
20,Intern,No experience,no experience,Beginner,30000,Female,low level
21,Associate Engineer,1-2 years,1-2 years experience,Fluent,80000,Male,low-mid level
36,Senior Engineer,5-10 years,5 years+ experience,Fluent,240000,Male,mid-high level
30,Associate Engineer,2-5 years,1-2 years experience,Fluent,140000,Male,mid level
36,Principal Engineer,5-10 years,5 years+ experience,Fluent,860000,Female,high level
20,Intern,No experience,no experience,Beginner,50000,Male,low level
22,Junior Developer,1-2 years,2-5 years experience,Intermediate,50000,Male,low-mid level
44,Software Engineer,5-10 years,5 years+ experience,Fluent,460000,Male,mid-high level
28,Associate Engineer,1-2 years,1-2 years experience,Fluent,170000,Female,mid level
42,Senior Engineer,10+ years,5 years+ experience,Fluent,600000,Male,high level
19,Intern,No experience,no experience,Fluent,50000,Male,low level
27,Junior Engineer,1-2 years,2-5 years experience,Intermediate,80000,Female,low-mid level
39,Senior Engineer,5-10 years,5 years+ experience,Fluent,300000,Male,mid-high level
30,Software Engineer,2-5 years,2-5 years experience,Fluent,190000,Male,mid level
53,Tech Lead,10+ years,5 years+ experience,Fluent,690000,Male,high level
20,Trainee,No experience,no experience,Beginner,30000,Male,low level
24,Junior Developer,1-2 years,2-5 years experience,Beginner,70000,Female,low-mid level
36,Senior Engineer,5-10 years,5 years+ experience,Fluent,360000,Male,mid-high level
29,Associate Engineer,2-5 years,2-5 years experience,Fluent,170000,Female,mid level
52,Architect,10+ years,5 years+ experience,Fluent,900000,Male,high level
21,Junior Developer,No experience,no experience,Fluent,30000,Male,low level
25,Junior Developer,1-2 years,2-5 years experience,Intermediate,80000,Female,low-mid level
37,Senior Engineer,5-10 years,5 years+ experience,Fluent,390000,Male,mid-high level
30,Software Engineer,2-5 years,1-2 years experience,Fluent,120000,Male,mid level
47,Senior Engineer,5-10 years,5 years+ experience,Fluent,820000,Male,high level
22,Intern,Below 1 year,no experience,Fluent,50000,Male,low level
28,Associate Engineer,1-2 years,2-5 years experience,Intermediate,50000,Male,low-mid level
42,Software Engineer,5-10 years,5 years+ experience,Fluent,270000,Male,mid-high level
31,Software Engineer,1-2 years,2-5 years experience,Fluent,190000,Male,mid level
40,Architect,10+ years,5 years+ experience,Fluent,500000,Male,high level
19,Trainee,Below 1 year,no experience,Fluent,40000,Male,low level
24,Junior Engineer,1-2 years,1-2 years experience,Fluent,50000,Male,low-mid level
36,Senior Engineer,5-10 years,5 years+ experience,Fluent,500000,Male,mid-high level
32,Software Engineer,1-2 years,1-2 years experience,Fluent,150000,Female,mid level
38,Tech Lead,10+ years,5 years+ experience,Fluent,530000,Female,high level
21,Trainee,Below 1 year,no experience,Beginner,40000,Male,low level
24,Junior Developer,1-2 years,1-2 years experience,Intermediate,50000,Female,low-mid level
54,Software Engineer,5-10 years,5 years+ experience,Fluent,440000,Male,mid-high level
29,Software Engineer,1-2 years,1-2 years experience,Fluent,120000,Female,mid level
40,Principal Engineer,5-10 years,5 years+ experience,Fluent,840000,Female,high level
19,Trainee,No experience,no experience,Intermediate,30000,Male,low level
24,Junior Developer,1-2 years,1-2 years experience,Beginner,80000,Female,low-mid level
40,Tech Lead,5-10 years,5 years+ experience,Fluent,490000,Male,mid-high level
29,Associate Engineer,2-5 years,2-5 years experience,Fluent,160000,Male,mid level
46,Senior Engineer,5-10 years,5 years+ experience,Fluent,680000,Male,high level
21,Trainee,No experience,no experience,Fluent,40000,Male,low level
28,Junior Developer,1-2 years,2-5 years experience,Intermediate,80000,Male,low-mid level
44,Software Engineer,5-10 years,5 years+ experience,Fluent,310000,Male,mid-high level
30,Associate Engineer,1-2 years,1-2 years experience,Fluent,150000,Female,mid level
42,Senior Engineer,10+ years,5 years+ experience,Fluent,620000,Male,high level
21,Intern,Below 1 year,no experience,Beginner,50000,Male,low level
21,Junior Engineer,1-2 years,2-5 years experience,Fluent,60000,Female,low-mid level
45,Tech Lead,5-10 years,5 years+ experience,Fluent,280000,Male,mid-high level
28,Software Engineer,1-2 years,1-2 years experience,Fluent,120000,Female,mid level
52,Senior Engineer,10+ years,5 years+ experience,Fluent,820000,Male,high level
